Title,Price,Time
Title,Price,Time
Title,Price,Time
Title,Price,Time
Title,Price,Time
Intel Core i9-14900K,25140,2023-12-14 18:19:27.186836
GIGABYTE Z790 AORUS Elite,9225,2023-12-14 18:19:29.730516
ASUS GeForce RTX 4090 ROG Strix OC,80900,2023-12-14 18:19:33.506811
G.SKILL Trident Z5 RGB DDR5 32GB (16GBx2) 5600 Silver,5775,2023-12-14 18:19:35.566825
Corsair MP400 4TB,23490,2023-12-14 18:19:43.655319
THERMALTAKE Toughpower GF3 1200W,8490,2023-12-14 18:20:02.553391
NZXT H1,13215,2023-12-14 18:20:08.871558
Intel Core i5-14600KF,12665,2023-12-14 18:21:57.559238
AERO COOL CS-1103 Black,915,2023-12-14 18:22:22.038294
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-15 17:20:59.698470
ASUS RTX 3060Ti Dual OC,11725,2023-12-15 17:21:02.892308
